Z(5, 23; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 10; Time: 12.0888 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 24; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 10; Time: 11.1703 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 25; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 10.9234 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 26; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 10; Time: 10.6786 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 27; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 10; Time: 11.9503 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 28; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 10; Time: 11.1971 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 29; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 10; Time: 11.5608 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 30; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 10; Time: 11.5502 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 31; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 10; Time: 12.8896 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 32; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 10; Time: 13.322 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 33; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 10; Time: 11.6949 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 34; 2, 2): Max: 44; Mean: 44; Variance: 0; Size: 10; Time: 12.3872 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 35; 2, 2): Max: 45; Mean: 45; Variance: 0; Size: 10; Time: 11.5412 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 36; 2, 2): Max: 46; Mean: 46; Variance: 0; Size: 10; Time: 12.5219 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 37; 2, 2): Max: 47; Mean: 47; Variance: 0; Size: 10; Time: 12.2841 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 38; 2, 2): Max: 48; Mean: 48; Variance: 0; Size: 10; Time: 12.0479 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 39; 2, 2): Max: 49; Mean: 49; Variance: 0; Size: 10; Time: 11.689 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 40; 2, 2): Max: 50; Mean: 50; Variance: 0; Size: 10; Time: 12.1478 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 6; 2, 2): Max: 16; Mean: 15.9; Variance: 0.09; Size: 10; Time: 10.0067 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(6, 7; 2, 2): Max: 18; Mean: 17.5; Variance: 0.45; Size: 10; Time: 10.3268 ms; Top5_Histogram_(relative_to_max): 0 0 1 3 6 ; iter: 3;
Z(6, 8; 2, 2): Max: 19; Mean: 18.9; Variance: 0.09; Size: 10; Time: 9.9422 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(6, 9; 2, 2): Max: 21; Mean: 20.8; Variance: 0.16; Size: 10; Time: 10.3468 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 8 ; iter: 3;
Z(6, 10; 2, 2): Max: 22; Mean: 21.9; Variance: 0.09; Size: 10; Time: 10.1575 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(6, 11; 2, 2): Max: 24; Mean: 23.7; Variance: 0.21; Size: 10; Time: 10.1536 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 7 ; iter: 3;
Z(6, 12; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 10.8018 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 13; 2, 2): Max: 27; Mean: 26.4; Variance: 0.24; Size: 10; Time: 10.2264 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 4 ; iter: 3;
Z(6, 14; 2, 2): Max: 28; Mean: 27.8; Variance: 0.16; Size: 10; Time: 9.9559 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 8 ; iter: 3;
Z(6, 15; 2, 2): Max: 30; Mean: 29; Variance: 0.2; Size: 10; Time: 9.9819 ms; Top5_Histogram_(relative_to_max): 0 0 1 8 1 ; iter: 3;
Z(6, 16; 2, 2): Max: 31; Mean: 30.9; Variance: 0.09; Size: 10; Time: 10.7374 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(6, 17; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 10; Time: 10.79 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 18; 2, 2): Max: 33; Mean: 32.9; Variance: 0.09; Size: 10; Time: 10.2481 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(6, 19; 2, 2): Max: 34; Mean: 33.8; Variance: 0.16; Size: 10; Time: 10.996 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 8 ; iter: 3;
Z(6, 20; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 12.378 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 21; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 10; Time: 10.7083 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 22; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 10; Time: 11.6095 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 23; 2, 2): Max: 38; Mean: 37.9; Variance: 0.09; Size: 10; Time: 10.6647 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(6, 24; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 10; Time: 12.0887 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
