Z(7, 28; 2, 2): Max: 49; Mean: 48.666; Variance: 0.246444; Size: 1000; Time: 1755.75 ms; Top5_Histogram_(relative_to_max): 0 0 12 310 678 ; iter: 200;
Z(7, 29; 2, 2): Max: 50; Mean: 49.715; Variance: 0.237775; Size: 1000; Time: 1883.53 ms; Top5_Histogram_(relative_to_max): 0 0 17 251 732 ; iter: 200;
Z(7, 30; 2, 2): Max: 51; Mean: 50.76; Variance: 0.1904; Size: 1000; Time: 1979.33 ms; Top5_Histogram_(relative_to_max): 0 0 4 232 764 ; iter: 200;
Z(8, 8; 2, 2): Max: 24; Mean: 23.916; Variance: 0.082944; Size: 1000; Time: 571.534 ms; Top5_Histogram_(relative_to_max): 0 0 3 78 919 ; iter: 200;
Z(8, 9; 2, 2): Max: 26; Mean: 25.87; Variance: 0.1271; Size: 1000; Time: 601.918 ms; Top5_Histogram_(relative_to_max): 0 0 7 116 877 ; iter: 200;
Z(8, 10; 2, 2): Max: 28; Mean: 27.556; Variance: 0.296864; Size: 1000; Time: 981.832 ms; Top5_Histogram_(relative_to_max): 0 2 19 400 579 ; iter: 200;
Z(8, 11; 2, 2): Max: 30; Mean: 29.235; Variance: 0.307775; Size: 1000; Time: 1022.6 ms; Top5_Histogram_(relative_to_max): 0 1 61 640 298 ; iter: 200;
Z(8, 12; 2, 2): Max: 32; Mean: 30.908; Variance: 0.351536; Size: 1000; Time: 1152.21 ms; Top5_Histogram_(relative_to_max): 0 6 208 658 128 ; iter: 200;
Z(8, 13; 2, 2): Max: 33; Mean: 32.443; Variance: 0.344751; Size: 1000; Time: 1302.78 ms; Top5_Histogram_(relative_to_max): 0 1 46 462 491 ; iter: 200;
Z(8, 14; 2, 2): Max: 35; Mean: 33.892; Variance: 0.360336; Size: 1000; Time: 1486.61 ms; Top5_Histogram_(relative_to_max): 0 9 213 655 123 ; iter: 200;
Z(8, 15; 2, 2): Max: 36; Mean: 35.441; Variance: 0.366519; Size: 1000; Time: 922.086 ms; Top5_Histogram_(relative_to_max): 0 1 57 442 500 ; iter: 200;
Z(8, 16; 2, 2): Max: 38; Mean: 37.037; Variance: 0.433631; Size: 1000; Time: 930.722 ms; Top5_Histogram_(relative_to_max): 0 7 178 586 229 ; iter: 200;
Z(8, 17; 2, 2): Max: 39; Mean: 38.525; Variance: 0.341375; Size: 1000; Time: 922.74 ms; Top5_Histogram_(relative_to_max): 0 3 37 392 568 ; iter: 200;
Z(8, 18; 2, 2): Max: 41; Mean: 40.123; Variance: 0.407871; Size: 1000; Time: 936.574 ms; Top5_Histogram_(relative_to_max): 0 9 123 604 264 ; iter: 200;
Z(8, 19; 2, 2): Max: 42; Mean: 41.603; Variance: 0.305391; Size: 1000; Time: 938.979 ms; Top5_Histogram_(relative_to_max): 0 0 33 331 636 ; iter: 200;
Z(8, 20; 2, 2): Max: 44; Mean: 42.904; Variance: 0.448784; Size: 1000; Time: 1317.46 ms; Top5_Histogram_(relative_to_max): 0 22 211 608 159 ; iter: 200;
Z(8, 21; 2, 2): Max: 45; Mean: 44.395; Variance: 0.404975; Size: 1000; Time: 1264.99 ms; Top5_Histogram_(relative_to_max): 0 1 80 442 477 ; iter: 200;
Z(8, 22; 2, 2): Max: 47; Mean: 45.8; Variance: 0.486; Size: 1000; Time: 1284.98 ms; Top5_Histogram_(relative_to_max): 2 26 273 568 131 ; iter: 200;
Z(8, 23; 2, 2): Max: 48; Mean: 47.263; Variance: 0.471831; Size: 1000; Time: 1249.37 ms; Top5_Histogram_(relative_to_max): 0 10 109 489 392 ; iter: 200;
Z(8, 24; 2, 2): Max: 50; Mean: 48.691; Variance: 0.481519; Size: 1000; Time: 1281.75 ms; Top5_Histogram_(relative_to_max): 1 41 314 554 90 ; iter: 200;
Z(8, 25; 2, 2): Max: 51; Mean: 50.032; Variance: 0.500976; Size: 1000; Time: 1278.71 ms; Top5_Histogram_(relative_to_max): 0 15 190 543 252 ; iter: 200;
Z(8, 26; 2, 2): Max: 53; Mean: 51.312; Variance: 0.528656; Size: 1000; Time: 1679.52 ms; Top5_Histogram_(relative_to_max): 7 107 482 375 29 ; iter: 200;
