Z(4, 24; 2, 2): Max: 30; Mean: 29.8872; Variance: 0.101381; Size: 50000; Time: 1419.47 ms; Top5_Histogram_(relative_to_max): 0 11 0 5606 44383 ;
Z(4, 25; 2, 2): Max: 31; Mean: 30.8915; Variance: 0.0983034; Size: 50000; Time: 1575.22 ms; Top5_Histogram_(relative_to_max): 0 13 0 5387 44600 ;
Z(4, 26; 2, 2): Max: 32; Mean: 31.8926; Variance: 0.0966738; Size: 50000; Time: 1675.01 ms; Top5_Histogram_(relative_to_max): 0 7 0 5347 44646 ;
Z(4, 27; 2, 2): Max: 33; Mean: 32.8971; Variance: 0.0940957; Size: 50000; Time: 1586.74 ms; Top5_Histogram_(relative_to_max): 0 15 0 5099 44886 ;
Z(4, 28; 2, 2): Max: 34; Mean: 33.9072; Variance: 0.0847556; Size: 50000; Time: 1695.3 ms; Top5_Histogram_(relative_to_max): 0 5 0 4623 45372 ;
Z(4, 29; 2, 2): Max: 35; Mean: 34.9117; Variance: 0.081496; Size: 50000; Time: 1742.21 ms; Top5_Histogram_(relative_to_max): 0 8 0 4393 45599 ;
Z(4, 30; 2, 2): Max: 36; Mean: 35.9133; Variance: 0.0804162; Size: 50000; Time: 1781.7 ms; Top5_Histogram_(relative_to_max): 0 10 0 4307 45683 ;
Z(5, 5; 2, 2): Max: 12; Mean: 11.4398; Variance: 0.414496; Size: 50000; Time: 849.561 ms; Top5_Histogram_(relative_to_max): 0 700 2103 21704 25493 ;
Z(5, 6; 2, 2): Max: 14; Mean: 13.121; Variance: 0.376529; Size: 50000; Time: 695.649 ms; Top5_Histogram_(relative_to_max): 42 197 5912 31369 12480 ;
Z(5, 7; 2, 2): Max: 15; Mean: 14.5647; Variance: 0.336654; Size: 50000; Time: 906.355 ms; Top5_Histogram_(relative_to_max): 16 47 2034 17492 30411 ;
Z(5, 8; 2, 2): Max: 17; Mean: 15.9429; Variance: 0.407404; Size: 50000; Time: 849.851 ms; Top5_Histogram_(relative_to_max): 13 778 9221 31995 7987 ;
Z(5, 9; 2, 2): Max: 18; Mean: 17.4112; Variance: 0.352227; Size: 50000; Time: 1090.94 ms; Top5_Histogram_(relative_to_max): 0 63 2554 24140 23242 ;
Z(5, 10; 2, 2): Max: 20; Mean: 18.6478; Variance: 0.372767; Size: 50000; Time: 1043.09 ms; Top5_Histogram_(relative_to_max): 13 1380 17009 29402 2196 ;
Z(5, 11; 2, 2): Max: 21; Mean: 19.8274; Variance: 0.397835; Size: 50000; Time: 1261.62 ms; Top5_Histogram_(relative_to_max): 7 857 12394 31245 5497 ;
Z(5, 12; 2, 2): Max: 22; Mean: 20.9574; Variance: 0.414785; Size: 50000; Time: 1255.74 ms; Top5_Histogram_(relative_to_max): 5 688 9386 31274 8647 ;
Z(5, 13; 2, 2): Max: 23; Mean: 22.2346; Variance: 0.394453; Size: 50000; Time: 1400.67 ms; Top5_Histogram_(relative_to_max): 1 230 4676 28223 16870 ;
Z(5, 14; 2, 2): Max: 24; Mean: 23.2962; Variance: 0.391009; Size: 50000; Time: 1631.21 ms; Top5_Histogram_(relative_to_max): 0 209 3937 26691 19163 ;
Z(5, 15; 2, 2): Max: 25; Mean: 24.3399; Variance: 0.387595; Size: 50000; Time: 1651.82 ms; Top5_Histogram_(relative_to_max): 1 195 3490 25438 20876 ;
Z(5, 16; 2, 2): Max: 26; Mean: 25.3725; Variance: 0.378214; Size: 50000; Time: 1732.26 ms; Top5_Histogram_(relative_to_max): 0 194 3030 24735 22041 ;
Z(5, 17; 2, 2): Max: 27; Mean: 26.4008; Variance: 0.374363; Size: 50000; Time: 1662.48 ms; Top5_Histogram_(relative_to_max): 0 182 2809 23795 23214 ;
Z(5, 18; 2, 2): Max: 28; Mean: 27.5345; Variance: 0.326413; Size: 50000; Time: 1811.6 ms; Top5_Histogram_(relative_to_max): 0 86 1682 19655 28577 ;
Z(5, 19; 2, 2): Max: 29; Mean: 28.5453; Variance: 0.32115; Size: 50000; Time: 1950.1 ms; Top5_Histogram_(relative_to_max): 0 68 1626 19280 29026 ;
Z(5, 20; 2, 2): Max: 30; Mean: 29.5569; Variance: 0.3182; Size: 50000; Time: 1927.58 ms; Top5_Histogram_(relative_to_max): 0 96 1498 18870 29536 ;
