Z(5, 9; 2, 2): Max: 18; Mean: 17.7; Variance: 0.21; Size: 240; Time: 35.8805 ms; Top5_Histogram_(relative_to_max): 0 0 0 72 168 ; iter: 0x7bf120;
Z(5, 10; 2, 2): Max: 20; Mean: 18.9167; Variance: 0.176389; Size: 240; Time: 73.0802 ms; Top5_Histogram_(relative_to_max): 0 0 32 196 12 ; iter: 0x7bf120;
Z(5, 11; 2, 2): Max: 21; Mean: 20.3667; Variance: 0.332222; Size: 240; Time: 18.2267 ms; Top5_Histogram_(relative_to_max): 0 0 12 128 100 ; iter: 0x7bf120;
Z(5, 12; 2, 2): Max: 22; Mean: 21.6917; Variance: 0.213264; Size: 240; Time: 35.9304 ms; Top5_Histogram_(relative_to_max): 0 0 0 74 166 ; iter: 0x7bf120;
Z(5, 13; 2, 2): Max: 23; Mean: 22.8; Variance: 0.16; Size: 240; Time: 55.0513 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 192 ; iter: 0x7bf120;
Z(5, 14; 2, 2): Max: 24; Mean: 23.925; Variance: 0.069375; Size: 240; Time: 98.5485 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 222 ; iter: 0x7bf120;
Z(5, 15; 2, 2): Max: 25; Mean: 24.9583; Variance: 0.0399306; Size: 240; Time: 29.3341 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 230 ; iter: 0x7bf120;
Z(5, 16; 2, 2): Max: 26; Mean: 25.9917; Variance: 0.00826389; Size: 240; Time: 51.8373 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 238 ; iter: 0x7bf120;
Z(5, 17; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 240; Time: 84.9248 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(5, 18; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 240; Time: 168.365 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(5, 19; 2, 2): Max: 29; Mean: 28.9917; Variance: 0.00826389; Size: 240; Time: 28.3714 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 238 ; iter: 0x7bf120;
Z(5, 20; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 240; Time: 56.0451 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(5, 21; 2, 2): Max: 30; Mean: 28.8917; Variance: 0.179931; Size: 240; Time: 63.6659 ms; Top5_Histogram_(relative_to_max): 0 0 36 194 10 ; iter: 0x7bf120;
Z(5, 22; 2, 2): Max: 31; Mean: 29.8167; Variance: 0.166389; Size: 240; Time: 88.8628 ms; Top5_Histogram_(relative_to_max): 0 0 46 192 2 ; iter: 0x7bf120;
Z(5, 23; 2, 2): Max: 33; Mean: 31.325; Variance: 0.236042; Size: 240; Time: 38.5574 ms; Top5_Histogram_(relative_to_max): 0 0 164 74 2 ; iter: 0x7bf120;
Z(5, 24; 2, 2): Max: 33; Mean: 32.075; Variance: 0.136042; Size: 240; Time: 73.7523 ms; Top5_Histogram_(relative_to_max): 0 0 8 206 26 ; iter: 0x7bf120;
Z(5, 25; 2, 2): Max: 34; Mean: 32.9083; Variance: 0.116597; Size: 240; Time: 64.2268 ms; Top5_Histogram_(relative_to_max): 0 0 26 210 4 ; iter: 0x7bf120;
Z(5, 26; 2, 2): Max: 35; Mean: 33.75; Variance: 0.204167; Size: 240; Time: 98.78 ms; Top5_Histogram_(relative_to_max): 0 0 62 176 2 ; iter: 0x7bf120;
