Z(3, 36; 2, 2): Max: 39; Mean: 38.465; Variance: 0.248775; Size: 400; Time: 32.2394 ms; Top5_Histogram_(relative_to_max): 0 0 0 214 186 ; iter: 1, 3, 6, 12;
Z(3, 37; 2, 2): Max: 40; Mean: 39.89; Variance: 0.0979; Size: 400; Time: 35.6386 ms; Top5_Histogram_(relative_to_max): 0 0 0 44 356 ; iter: 1, 3, 6, 12;
Z(3, 38; 2, 2): Max: 41; Mean: 40.985; Variance: 0.014775; Size: 400; Time: 40.4336 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 394 ; iter: 1, 3, 6, 12;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 400; Time: 46.8488 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 40; 2, 2): Max: 43; Mean: 42.47; Variance: 0.2491; Size: 400; Time: 37.77 ms; Top5_Histogram_(relative_to_max): 0 0 0 212 188 ; iter: 1, 3, 6, 12;
Z(4, 4; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 6.5162 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 7.4483 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 6; 2, 2): Max: 12; Mean: 11.57; Variance: 0.2451; Size: 400; Time: 10.7522 ms; Top5_Histogram_(relative_to_max): 0 0 0 172 228 ; iter: 1, 3, 6, 12;
Z(4, 7; 2, 2): Max: 13; Mean: 12.155; Variance: 0.130975; Size: 400; Time: 8.6622 ms; Top5_Histogram_(relative_to_max): 0 0 0 338 62 ; iter: 1, 3, 6, 12;
Z(4, 8; 2, 2): Max: 14; Mean: 13.02; Variance: 0.0196; Size: 400; Time: 9.7277 ms; Top5_Histogram_(relative_to_max): 0 0 0 392 8 ; iter: 1, 3, 6, 12;
Z(4, 9; 2, 2): Max: 15; Mean: 14.205; Variance: 0.162975; Size: 400; Time: 11.9392 ms; Top5_Histogram_(relative_to_max): 0 0 0 318 82 ; iter: 1, 3, 6, 12;
Z(4, 10; 2, 2): Max: 16; Mean: 15.615; Variance: 0.236775; Size: 400; Time: 14.8901 ms; Top5_Histogram_(relative_to_max): 0 0 0 154 246 ; iter: 1, 3, 6, 12;
Z(4, 11; 2, 2): Max: 17; Mean: 16.215; Variance: 0.168775; Size: 400; Time: 11.8637 ms; Top5_Histogram_(relative_to_max): 0 0 0 314 86 ; iter: 1, 3, 6, 12;
Z(4, 12; 2, 2): Max: 18; Mean: 17.5; Variance: 0.25; Size: 400; Time: 13.6076 ms; Top5_Histogram_(relative_to_max): 0 0 0 200 200 ; iter: 1, 3, 6, 12;
Z(4, 13; 2, 2): Max: 19; Mean: 18.005; Variance: 0.004975; Size: 400; Time: 17.8258 ms; Top5_Histogram_(relative_to_max): 0 0 0 398 2 ; iter: 1, 3, 6, 12;
Z(4, 14; 2, 2): Max: 19; Mean: 18.9; Variance: 0.09; Size: 400; Time: 26.4193 ms; Top5_Histogram_(relative_to_max): 0 0 0 40 360 ; iter: 1, 3, 6, 12;
Z(4, 15; 2, 2): Max: 21; Mean: 20.145; Variance: 0.123975; Size: 400; Time: 15.8462 ms; Top5_Histogram_(relative_to_max): 0 0 0 342 58 ; iter: 1, 3, 6, 12;
Z(4, 16; 2, 2): Max: 22; Mean: 21.01; Variance: 0.0199; Size: 400; Time: 19.6895 ms; Top5_Histogram_(relative_to_max): 0 0 2 392 6 ; iter: 1, 3, 6, 12;
Z(4, 17; 2, 2): Max: 23; Mean: 22.08; Variance: 0.0736; Size: 400; Time: 25.5922 ms; Top5_Histogram_(relative_to_max): 0 0 0 368 32 ; iter: 1, 3, 6, 12;
Z(4, 18; 2, 2): Max: 24; Mean: 23.635; Variance: 0.231775; Size: 400; Time: 45.0191 ms; Top5_Histogram_(relative_to_max): 0 0 0 146 254 ; iter: 1, 3, 6, 12;
Z(4, 19; 2, 2): Max: 25; Mean: 24.035; Variance: 0.033775; Size: 400; Time: 20.7838 ms; Top5_Histogram_(relative_to_max): 0 0 0 386 14 ; iter: 1, 3, 6, 12;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 51.0143 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 21; 2, 2): Max: 27; Mean: 26.625; Variance: 0.254375; Size: 400; Time: 40.1742 ms; Top5_Histogram_(relative_to_max): 0 0 4 142 254 ; iter: 1, 3, 6, 12;
Z(4, 22; 2, 2): Max: 28; Mean: 27.775; Variance: 0.174375; Size: 400; Time: 51.5099 ms; Top5_Histogram_(relative_to_max): 0 0 0 90 310 ; iter: 1, 3, 6, 12;
Z(4, 23; 2, 2): Max: 29; Mean: 28.07; Variance: 0.0651; Size: 400; Time: 28.5522 ms; Top5_Histogram_(relative_to_max): 0 0 0 372 28 ; iter: 1, 3, 6, 12;
Z(4, 24; 2, 2): Max: 30; Mean: 29.965; Variance: 0.033775; Size: 400; Time: 41.6371 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 386 ; iter: 1, 3, 6, 12;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 41.6123 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 43.0386 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 27; 2, 2): Max: 33; Mean: 32.1; Variance: 0.09; Size: 400; Time: 33.6395 ms; Top5_Histogram_(relative_to_max): 0 0 0 360 40 ; iter: 1, 3, 6, 12;
Z(4, 28; 2, 2): Max: 34; Mean: 33.45; Variance: 0.2475; Size: 400; Time: 36.8051 ms; Top5_Histogram_(relative_to_max): 0 0 0 220 180 ; iter: 1, 3, 6, 12;
Z(4, 29; 2, 2): Max: 35; Mean: 34.98; Variance: 0.0196; Size: 400; Time: 47.6062 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 392 ; iter: 1, 3, 6, 12;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 54.9078 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 31; 2, 2): Max: 37; Mean: 36.02; Variance: 0.0196; Size: 400; Time: 42.298 ms; Top5_Histogram_(relative_to_max): 0 0 0 392 8 ; iter: 1, 3, 6, 12;
Z(4, 32; 2, 2): Max: 38; Mean: 37.305; Variance: 0.211975; Size: 400; Time: 51.8137 ms; Top5_Histogram_(relative_to_max): 0 0 0 278 122 ; iter: 1, 3, 6, 12;
Z(4, 33; 2, 2): Max: 39; Mean: 38.875; Variance: 0.109375; Size: 400; Time: 79.8968 ms; Top5_Histogram_(relative_to_max): 0 0 0 50 350 ; iter: 1, 3, 6, 12;
Z(4, 34; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 74.9542 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 35; 2, 2): Max: 41; Mean: 40.81; Variance: 0.1539; Size: 400; Time: 46.7233 ms; Top5_Histogram_(relative_to_max): 0 0 0 76 324 ; iter: 1, 3, 6, 12;
Z(4, 36; 2, 2): Max: 42; Mean: 41.105; Variance: 0.093975; Size: 400; Time: 48.7429 ms; Top5_Histogram_(relative_to_max): 0 0 0 358 42 ; iter: 1, 3, 6, 12;
Z(4, 37; 2, 2): Max: 43; Mean: 42.595; Variance: 0.240975; Size: 400; Time: 55.7143 ms; Top5_Histogram_(relative_to_max): 0 0 0 162 238 ; iter: 1, 3, 6, 12;
Z(4, 38; 2, 2): Max: 44; Mean: 43.995; Variance: 0.004975; Size: 400; Time: 65.534 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(4, 39; 2, 2): Max: 45; Mean: 44.675; Variance: 0.219375; Size: 400; Time: 53.7213 ms; Top5_Histogram_(relative_to_max): 0 0 0 130 270 ; iter: 1, 3, 6, 12;
Z(4, 40; 2, 2): Max: 46; Mean: 45.1; Variance: 0.09; Size: 400; Time: 56.0326 ms; Top5_Histogram_(relative_to_max): 0 0 0 360 40 ; iter: 1, 3, 6, 12;
Z(5, 5; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 8.1706 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 6; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 10.4819 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 7; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 9.4594 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 8; 2, 2): Max: 17; Mean: 16.44; Variance: 0.2464; Size: 400; Time: 11.641 ms; Top5_Histogram_(relative_to_max): 0 0 0 224 176 ; iter: 1, 3, 6, 12;
Z(5, 9; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 13.2972 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 10; 2, 2): Max: 20; Mean: 19.09; Variance: 0.0919; Size: 400; Time: 18.577 ms; Top5_Histogram_(relative_to_max): 0 0 2 360 38 ; iter: 1, 3, 6, 12;
Z(5, 11; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 400; Time: 14.6347 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 12; 2, 2): Max: 22; Mean: 21.25; Variance: 0.1875; Size: 400; Time: 17.6001 ms; Top5_Histogram_(relative_to_max): 0 0 0 300 100 ; iter: 1, 3, 6, 12;
Z(5, 13; 2, 2): Max: 23; Mean: 22.215; Variance: 0.168775; Size: 400; Time: 20.2225 ms; Top5_Histogram_(relative_to_max): 0 0 0 314 86 ; iter: 1, 3, 6, 12;
Z(5, 14; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 23.9551 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 15; 2, 2): Max: 25; Mean: 24.005; Variance: 0.004975; Size: 400; Time: 19.5244 ms; Top5_Histogram_(relative_to_max): 0 0 0 398 2 ; iter: 1, 3, 6, 12;
Z(5, 16; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 23.6824 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 17; 2, 2): Max: 27; Mean: 26.515; Variance: 0.249775; Size: 400; Time: 27.7865 ms; Top5_Histogram_(relative_to_max): 0 0 0 194 206 ; iter: 1, 3, 6, 12;
Z(5, 18; 2, 2): Max: 28; Mean: 27.355; Variance: 0.228975; Size: 400; Time: 33.9249 ms; Top5_Histogram_(relative_to_max): 0 0 0 258 142 ; iter: 1, 3, 6, 12;
Z(5, 19; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 25.5343 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 20; 2, 2): Max: 30; Mean: 29.335; Variance: 0.222775; Size: 400; Time: 31.3055 ms; Top5_Histogram_(relative_to_max): 0 0 0 266 134 ; iter: 1, 3, 6, 12;
Z(5, 21; 2, 2): Max: 31; Mean: 29.85; Variance: 0.1675; Size: 400; Time: 37.1289 ms; Top5_Histogram_(relative_to_max): 0 0 68 324 8 ; iter: 1, 3, 6, 12;
Z(5, 22; 2, 2): Max: 32; Mean: 30.625; Variance: 0.304375; Size: 400; Time: 47.87 ms; Top5_Histogram_(relative_to_max): 0 10 134 252 4 ; iter: 1, 3, 6, 12;
Z(5, 23; 2, 2): Max: 32; Mean: 31.915; Variance: 0.077775; Size: 400; Time: 34.9984 ms; Top5_Histogram_(relative_to_max): 0 0 0 34 366 ; iter: 1, 3, 6, 12;
Z(5, 24; 2, 2): Max: 34; Mean: 32.955; Variance: 0.202975; Size: 400; Time: 40.4219 ms; Top5_Histogram_(relative_to_max): 0 2 44 324 30 ; iter: 1, 3, 6, 12;
Z(5, 25; 2, 2): Max: 35; Mean: 33.695; Variance: 0.261975; Size: 400; Time: 43.9607 ms; Top5_Histogram_(relative_to_max): 0 8 108 282 2 ; iter: 1, 3, 6, 12;
Z(5, 26; 2, 2): Max: 36; Mean: 34.365; Variance: 0.491775; Size: 400; Time: 67.1263 ms; Top5_Histogram_(relative_to_max): 2 36 186 166 10 ; iter: 1, 3, 6, 12;
Z(5, 27; 2, 2): Max: 37; Mean: 35.955; Variance: 0.092975; Size: 400; Time: 42.6526 ms; Top5_Histogram_(relative_to_max): 0 0 28 362 10 ; iter: 1, 3, 6, 12;
Z(5, 28; 2, 2): Max: 37; Mean: 36.695; Variance: 0.251975; Size: 400; Time: 46.404 ms; Top5_Histogram_(relative_to_max): 0 0 8 106 286 ; iter: 1, 3, 6, 12;
Z(5, 29; 2, 2): Max: 39; Mean: 37.58; Variance: 0.5236; Size: 400; Time: 60.4729 ms; Top5_Histogram_(relative_to_max): 0 24 152 192 32 ; iter: 1, 3, 6, 12;
