Z(3, 29; 2, 2): Max: 32; Mean: 31.9896; Variance: 0.0103082; Size: 96; Time: 33.6081 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 96; Time: 36.5947 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 96; Time: 42.8173 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 32; 2, 2): Max: 35; Mean: 34.9896; Variance: 0.0103082; Size: 96; Time: 35.8467 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 96; Time: 36.5975 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 96; Time: 44.9109 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 96; Time: 48.2466 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 96; Time: 43.388 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 37; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 96; Time: 45.2635 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 96; Time: 45.1203 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 96; Time: 54.5214 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 96; Time: 42.7532 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(4, 4; 2, 2): Max: 9; Mean: 8.63542; Variance: 0.294162; Size: 96; Time: 26.109 ms; Top5_Histogram_(relative_to_max): 0 0 3 29 64 ; iter: 0x7cf080;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 120; Time: 26.4428 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 120 ; iter: 0x7cf080;
Z(4, 6; 2, 2): Max: 12; Mean: 11.8125; Variance: 0.152344; Size: 96; Time: 30.6036 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 78 ; iter: 0x7cf080;
Z(4, 7; 2, 2): Max: 13; Mean: 12.4063; Variance: 0.324544; Size: 96; Time: 24.3048 ms; Top5_Histogram_(relative_to_max): 0 1 1 52 42 ; iter: 0x7cf080;
Z(4, 8; 2, 2): Max: 14; Mean: 13.8917; Variance: 0.0965972; Size: 120; Time: 30.4379 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 107 ; iter: 0x7cf080;
Z(4, 9; 2, 2): Max: 15; Mean: 14.9896; Variance: 0.0103082; Size: 96; Time: 28.366 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 31.4377 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(4, 11; 2, 2): Max: 17; Mean: 16.7812; Variance: 0.170898; Size: 96; Time: 27.2804 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 75 ; iter: 0x7cf080;
Z(4, 12; 2, 2): Max: 18; Mean: 17.9667; Variance: 0.0322222; Size: 120; Time: 32.2565 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 116 ; iter: 0x7cf080;
Z(4, 13; 2, 2): Max: 19; Mean: 18.625; Variance: 0.234375; Size: 96; Time: 28.4058 ms; Top5_Histogram_(relative_to_max): 0 0 0 36 60 ; iter: 0x7cf080;
Z(4, 14; 2, 2): Max: 20; Mean: 19.7167; Variance: 0.203056; Size: 120; Time: 33.3151 ms; Top5_Histogram_(relative_to_max): 0 0 0 34 86 ; iter: 0x7cf080;
Z(4, 15; 2, 2): Max: 21; Mean: 20.1667; Variance: 0.438889; Size: 120; Time: 30.8851 ms; Top5_Histogram_(relative_to_max): 0 6 0 82 32 ; iter: 0x7cf080;
Z(4, 16; 2, 2): Max: 22; Mean: 21.7917; Variance: 0.164931; Size: 120; Time: 31.6327 ms; Top5_Histogram_(relative_to_max): 0 0 0 25 95 ; iter: 0x7cf080;
Z(4, 17; 2, 2): Max: 23; Mean: 22.625; Variance: 0.234375; Size: 120; Time: 35.3179 ms; Top5_Histogram_(relative_to_max): 0 0 0 45 75 ; iter: 0x7cf080;
Z(4, 18; 2, 2): Max: 24; Mean: 23.7167; Variance: 0.203056; Size: 120; Time: 37.9969 ms; Top5_Histogram_(relative_to_max): 0 0 0 34 86 ; iter: 0x7cf080;
Z(4, 19; 2, 2): Max: 25; Mean: 24.3833; Variance: 0.236389; Size: 120; Time: 33.6643 ms; Top5_Histogram_(relative_to_max): 0 0 0 74 46 ; iter: 0x7cf080;
Z(4, 20; 2, 2): Max: 26; Mean: 25.6917; Variance: 0.213264; Size: 120; Time: 35.6839 ms; Top5_Histogram_(relative_to_max): 0 0 0 37 83 ; iter: 0x7cf080;
Z(4, 21; 2, 2): Max: 27; Mean: 26.775; Variance: 0.174375; Size: 120; Time: 41.4495 ms; Top5_Histogram_(relative_to_max): 0 0 0 27 93 ; iter: 0x7cf080;
Z(4, 22; 2, 2): Max: 28; Mean: 27.5833; Variance: 0.243056; Size: 120; Time: 47.5419 ms; Top5_Histogram_(relative_to_max): 0 0 0 50 70 ; iter: 0x7cf080;
Z(4, 23; 2, 2): Max: 29; Mean: 28.5; Variance: 0.4; Size: 120; Time: 41.6964 ms; Top5_Histogram_(relative_to_max): 0 3 0 51 66 ; iter: 0x7cf080;
Z(4, 24; 2, 2): Max: 30; Mean: 29.6583; Variance: 0.224931; Size: 120; Time: 41.4732 ms; Top5_Histogram_(relative_to_max): 0 0 0 41 79 ; iter: 0x7cf080;
Z(4, 25; 2, 2): Max: 31; Mean: 30.6333; Variance: 0.232222; Size: 120; Time: 42.3539 ms; Top5_Histogram_(relative_to_max): 0 0 0 44 76 ; iter: 0x7cf080;
Z(4, 26; 2, 2): Max: 32; Mean: 31.8; Variance: 0.16; Size: 120; Time: 52.0993 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 96 ; iter: 0x7cf080;
Z(4, 27; 2, 2): Max: 33; Mean: 32.4333; Variance: 0.295556; Size: 120; Time: 39.4123 ms; Top5_Histogram_(relative_to_max): 0 1 0 65 54 ; iter: 0x7cf080;
Z(4, 28; 2, 2): Max: 34; Mean: 33.8917; Variance: 0.0965972; Size: 120; Time: 44.5883 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 107 ; iter: 0x7cf080;
Z(4, 29; 2, 2): Max: 35; Mean: 34.7917; Variance: 0.164931; Size: 120; Time: 48.7532 ms; Top5_Histogram_(relative_to_max): 0 0 0 25 95 ; iter: 0x7cf080;
Z(4, 30; 2, 2): Max: 36; Mean: 35.5917; Variance: 0.241597; Size: 120; Time: 58.0161 ms; Top5_Histogram_(relative_to_max): 0 0 0 49 71 ; iter: 0x7cf080;
Z(4, 31; 2, 2): Max: 37; Mean: 36.6; Variance: 0.29; Size: 120; Time: 48.228 ms; Top5_Histogram_(relative_to_max): 0 1 0 45 74 ; iter: 0x7cf080;
Z(4, 32; 2, 2): Max: 38; Mean: 37.6667; Variance: 0.222222; Size: 120; Time: 48.0268 ms; Top5_Histogram_(relative_to_max): 0 0 0 40 80 ; iter: 0x7cf080;
Z(4, 33; 2, 2): Max: 39; Mean: 38.575; Variance: 0.244375; Size: 120; Time: 90.5285 ms; Top5_Histogram_(relative_to_max): 0 0 0 51 69 ; iter: 0x7cf080;
Z(4, 34; 2, 2): Max: 40; Mean: 39.6583; Variance: 0.224931; Size: 120; Time: 100.781 ms; Top5_Histogram_(relative_to_max): 0 0 0 41 79 ; iter: 0x7cf080;
Z(4, 35; 2, 2): Max: 41; Mean: 40.6583; Variance: 0.224931; Size: 120; Time: 84.8717 ms; Top5_Histogram_(relative_to_max): 0 0 0 41 79 ; iter: 0x7cf080;
Z(4, 36; 2, 2): Max: 42; Mean: 41.55; Variance: 0.2475; Size: 120; Time: 91.2895 ms; Top5_Histogram_(relative_to_max): 0 0 0 54 66 ; iter: 0x7cf080;
Z(4, 37; 2, 2): Max: 43; Mean: 42.8; Variance: 0.16; Size: 120; Time: 72.7907 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 96 ; iter: 0x7cf080;
Z(4, 38; 2, 2): Max: 44; Mean: 43.6; Variance: 0.24; Size: 120; Time: 81.841 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 72 ; iter: 0x7cf080;
Z(4, 39; 2, 2): Max: 45; Mean: 44.4667; Variance: 0.248889; Size: 120; Time: 65.0542 ms; Top5_Histogram_(relative_to_max): 0 0 0 64 56 ; iter: 0x7cf080;
Z(4, 40; 2, 2): Max: 46; Mean: 45.6333; Variance: 0.232222; Size: 120; Time: 71.8031 ms; Top5_Histogram_(relative_to_max): 0 0 0 44 76 ; iter: 0x7cf080;
Z(5, 5; 2, 2): Max: 12; Mean: 11.8646; Variance: 0.117079; Size: 96; Time: 29.0557 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 83 ; iter: 0x7cf080;
Z(5, 6; 2, 2): Max: 14; Mean: 13.8854; Variance: 0.101454; Size: 96; Time: 31.0906 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 85 ; iter: 0x7cf080;
Z(5, 7; 2, 2): Max: 15; Mean: 14.6167; Variance: 0.269722; Size: 120; Time: 28.5219 ms; Top5_Histogram_(relative_to_max): 0 0 2 42 76 ; iter: 0x7cf080;
Z(5, 8; 2, 2): Max: 17; Mean: 16.2583; Variance: 0.341597; Size: 120; Time: 28.8801 ms; Top5_Histogram_(relative_to_max): 0 0 9 71 40 ; iter: 0x7cf080;
Z(5, 9; 2, 2): Max: 18; Mean: 17.875; Variance: 0.109375; Size: 120; Time: 31.5358 ms; Top5_Histogram_(relative_to_max): 0 0 0 15 105 ; iter: 0x7cf080;
Z(5, 10; 2, 2): Max: 20; Mean: 19.4; Variance: 0.29; Size: 120; Time: 35.786 ms; Top5_Histogram_(relative_to_max): 0 0 3 66 51 ; iter: 0x7cf080;
Z(5, 11; 2, 2): Max: 21; Mean: 20.2583; Variance: 0.408264; Size: 120; Time: 31.8712 ms; Top5_Histogram_(relative_to_max): 0 1 10 66 43 ; iter: 0x7cf080;
Z(5, 12; 2, 2): Max: 22; Mean: 21.5083; Variance: 0.383264; Size: 120; Time: 31.8372 ms; Top5_Histogram_(relative_to_max): 0 0 8 43 69 ; iter: 0x7cf080;
Z(5, 13; 2, 2): Max: 23; Mean: 22.8583; Variance: 0.121597; Size: 120; Time: 38.0508 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 103 ; iter: 0x7cf080;
Z(5, 14; 2, 2): Max: 24; Mean: 23.95; Variance: 0.0475; Size: 120; Time: 51.1518 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 114 ; iter: 0x7cf080;
Z(5, 15; 2, 2): Max: 25; Mean: 24.5667; Variance: 0.378889; Size: 120; Time: 40.4903 ms; Top5_Histogram_(relative_to_max): 0 1 5 39 75 ; iter: 0x7cf080;
Z(5, 16; 2, 2): Max: 26; Mean: 25.8583; Variance: 0.138264; Size: 120; Time: 34.8373 ms; Top5_Histogram_(relative_to_max): 0 0 1 15 104 ; iter: 0x7cf080;
Z(5, 17; 2, 2): Max: 27; Mean: 26.9417; Variance: 0.0549306; Size: 120; Time: 46.2348 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 113 ; iter: 0x7cf080;
Z(5, 18; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 46.045 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(5, 19; 2, 2): Max: 29; Mean: 28.7917; Variance: 0.164931; Size: 96; Time: 38.4122 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 76 ; iter: 0x7cf080;
Z(5, 20; 2, 2): Max: 30; Mean: 29.9583; Variance: 0.0399306; Size: 120; Time: 47.4597 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 115 ; iter: 0x7cf080;
Z(5, 21; 2, 2): Max: 31; Mean: 30.525; Variance: 0.299375; Size: 120; Time: 42.6176 ms; Top5_Histogram_(relative_to_max): 0 1 0 54 65 ; iter: 0x7cf080;
Z(5, 22; 2, 2): Max: 32; Mean: 31.1; Variance: 1.29; Size: 120; Time: 45.0456 ms; Top5_Histogram_(relative_to_max): 0 24 0 36 60 ; iter: 0x7cf080;
Z(5, 23; 2, 2): Max: 33; Mean: 31.225; Variance: 1.69104; Size: 120; Time: 40.0136 ms; Top5_Histogram_(relative_to_max): 0 56 1 37 25 ; iter: 0x7cf080;
Z(5, 24; 2, 2): Max: 34; Mean: 33.1417; Variance: 1.1216; Size: 120; Time: 38.5969 ms; Top5_Histogram_(relative_to_max): 0 15 15 28 62 ; iter: 0x7cf080;
Z(5, 25; 2, 2): Max: 35; Mean: 33.8333; Variance: 1.40556; Size: 120; Time: 46.9093 ms; Top5_Histogram_(relative_to_max): 0 24 24 20 52 ; iter: 0x7cf080;
Z(5, 26; 2, 2): Max: 36; Mean: 34.5833; Variance: 1.80972; Size: 120; Time: 111.034 ms; Top5_Histogram_(relative_to_max): 0 48 0 26 46 ; iter: 0x7cf080;
Z(5, 27; 2, 2): Max: 37; Mean: 35.6667; Variance: 1.15556; Size: 120; Time: 117.671 ms; Top5_Histogram_(relative_to_max): 0 24 24 40 32 ; iter: 0x7cf080;
Z(5, 28; 2, 2): Max: 38; Mean: 36.6333; Variance: 1.49889; Size: 120; Time: 63.7877 ms; Top5_Histogram_(relative_to_max): 0 40 0 44 36 ; iter: 0x7cf080;
Z(5, 29; 2, 2): Max: 39; Mean: 37.9417; Variance: 1.53826; Size: 120; Time: 71.4904 ms; Top5_Histogram_(relative_to_max): 0 24 24 7 65 ; iter: 0x7cf080;
Z(5, 30; 2, 2): Max: 40; Mean: 38.5833; Variance: 1.80972; Size: 120; Time: 85.1672 ms; Top5_Histogram_(relative_to_max): 0 48 0 26 46 ; iter: 0x7cf080;
Z(5, 31; 2, 2): Max: 41; Mean: 39.6833; Variance: 1.18306; Size: 120; Time: 89.617 ms; Top5_Histogram_(relative_to_max): 0 24 24 38 34 ; iter: 0x7cf080;
Z(5, 32; 2, 2): Max: 42; Mean: 40.9; Variance: 1.19; Size: 120; Time: 71.5039 ms; Top5_Histogram_(relative_to_max): 0 24 6 48 42 ; iter: 0x7cf080;
Z(5, 33; 2, 2): Max: 43; Mean: 41.725; Variance: 2.04937; Size: 120; Time: 87.1441 ms; Top5_Histogram_(relative_to_max): 0 48 0 9 63 ; iter: 0x7cf080;
Z(5, 34; 2, 2): Max: 44; Mean: 43; Variance: 1.6; Size: 120; Time: 124.318 ms; Top5_Histogram_(relative_to_max): 0 24 24 0 72 ; iter: 0x7cf080;
