Z(4, 38; 2, 2): Max: 44; Mean: 42.25; Variance: 1.6875; Size: 96; Time: 97.625 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 39; 2, 2): Max: 45; Mean: 43.25; Variance: 1.6875; Size: 96; Time: 71.8391 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 40; 2, 2): Max: 46; Mean: 44.25; Variance: 1.6875; Size: 96; Time: 85.7757 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(5, 5; 2, 2): Max: 12; Mean: 11.8542; Variance: 0.124566; Size: 96; Time: 30.2448 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 82 ; iter: 0x7cf080;
Z(5, 6; 2, 2): Max: 14; Mean: 13.7917; Variance: 0.164931; Size: 96; Time: 28.5477 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 76 ; iter: 0x7cf080;
Z(5, 7; 2, 2): Max: 15; Mean: 14.4333; Variance: 0.462222; Size: 120; Time: 31.207 ms; Top5_Histogram_(relative_to_max): 1 0 7 50 62 ; iter: 0x7cf080;
Z(5, 8; 2, 2): Max: 17; Mean: 16.2188; Variance: 0.441732; Size: 96; Time: 31.2172 ms; Top5_Histogram_(relative_to_max): 0 0 13 49 34 ; iter: 0x7cf080;
Z(5, 9; 2, 2): Max: 18; Mean: 17.6667; Variance: 0.263889; Size: 96; Time: 40.8491 ms; Top5_Histogram_(relative_to_max): 0 0 2 28 66 ; iter: 0x7cf080;
Z(5, 10; 2, 2): Max: 20; Mean: 19.3125; Variance: 0.235677; Size: 96; Time: 37.6379 ms; Top5_Histogram_(relative_to_max): 0 0 1 64 31 ; iter: 0x7cf080;
Z(5, 11; 2, 2): Max: 21; Mean: 19.4; Variance: 0.806667; Size: 120; Time: 33.7804 ms; Top5_Histogram_(relative_to_max): 0 22 40 46 12 ; iter: 0x7cf080;
Z(5, 12; 2, 2): Max: 22; Mean: 21.0521; Variance: 0.445204; Size: 96; Time: 34.4321 ms; Top5_Histogram_(relative_to_max): 0 0 19 53 24 ; iter: 0x7cf080;
Z(5, 13; 2, 2): Max: 23; Mean: 22.7667; Variance: 0.178889; Size: 120; Time: 43.0584 ms; Top5_Histogram_(relative_to_max): 0 0 0 28 92 ; iter: 0x7cf080;
Z(5, 14; 2, 2): Max: 24; Mean: 23.95; Variance: 0.0475; Size: 120; Time: 50.0343 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 114 ; iter: 0x7cf080;
Z(5, 15; 2, 2): Max: 25; Mean: 23.9833; Variance: 0.816389; Size: 120; Time: 40.4033 ms; Top5_Histogram_(relative_to_max): 0 9 23 49 39 ; iter: 0x7cf080;
Z(5, 16; 2, 2): Max: 26; Mean: 25.6333; Variance: 0.315556; Size: 120; Time: 45.2952 ms; Top5_Histogram_(relative_to_max): 0 0 5 34 81 ; iter: 0x7cf080;
Z(5, 17; 2, 2): Max: 27; Mean: 26.875; Variance: 0.109375; Size: 120; Time: 54.1144 ms; Top5_Histogram_(relative_to_max): 0 0 0 15 105 ; iter: 0x7cf080;
