Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 5300; Time: 131.893 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 5300; Time: 134.554 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 34; 2, 2): Max: 37; Mean: 36.9996; Variance: 0.000377216; Size: 5300; Time: 145.35 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 5298 ;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 5300; Time: 150.768 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 5300; Time: 156.258 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 37; 2, 2): Max: 40; Mean: 39.9998; Variance: 0.000188644; Size: 5300; Time: 155.888 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 5299 ;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 5300; Time: 171.289 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 5300; Time: 174.146 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 5300; Time: 174.51 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(4, 4; 2, 2): Max: 9; Mean: 8.57962; Variance: 0.308566; Size: 5300; Time: 29.9184 ms; Top5_Histogram_(relative_to_max): 0 0 172 1884 3244 ;
Z(4, 5; 2, 2): Max: 10; Mean: 9.88415; Variance: 0.118277; Size: 5300; Time: 39.1439 ms; Top5_Histogram_(relative_to_max): 0 0 42 530 4728 ;
Z(4, 6; 2, 2): Max: 12; Mean: 11.2455; Variance: 0.250876; Size: 5300; Time: 46.0372 ms; Top5_Histogram_(relative_to_max): 0 7 153 3672 1468 ;
Z(4, 7; 2, 2): Max: 13; Mean: 12.5238; Variance: 0.269812; Size: 5300; Time: 50.6739 ms; Top5_Histogram_(relative_to_max): 0 0 54 2416 2830 ;
Z(4, 8; 2, 2): Max: 14; Mean: 13.6521; Variance: 0.237816; Size: 5300; Time: 62.3715 ms; Top5_Histogram_(relative_to_max): 0 0 29 1786 3485 ;
Z(4, 9; 2, 2): Max: 15; Mean: 14.8053; Variance: 0.160199; Size: 5300; Time: 68.8738 ms; Top5_Histogram_(relative_to_max): 0 0 9 1014 4277 ;
Z(4, 10; 2, 2): Max: 16; Mean: 15.8774; Variance: 0.110242; Size: 5300; Time: 73.1042 ms; Top5_Histogram_(relative_to_max): 0 0 7 636 4657 ;
Z(4, 11; 2, 2): Max: 17; Mean: 16.9187; Variance: 0.075085; Size: 5300; Time: 78.6082 ms; Top5_Histogram_(relative_to_max): 0 0 1 429 4870 ;
Z(4, 12; 2, 2): Max: 18; Mean: 17.9442; Variance: 0.0531073; Size: 5300; Time: 95.958 ms; Top5_Histogram_(relative_to_max): 0 0 1 294 5005 ;
Z(4, 13; 2, 2): Max: 19; Mean: 18.8453; Variance: 0.131912; Size: 5300; Time: 59.8845 ms; Top5_Histogram_(relative_to_max): 0 0 3 814 4483 ;
Z(4, 14; 2, 2): Max: 20; Mean: 19.8734; Variance: 0.110953; Size: 5300; Time: 63.9138 ms; Top5_Histogram_(relative_to_max): 0 0 1 669 4630 ;
Z(4, 15; 2, 2): Max: 21; Mean: 20.8877; Variance: 0.100793; Size: 5300; Time: 69.775 ms; Top5_Histogram_(relative_to_max): 0 1 0 592 4707 ;
Z(4, 16; 2, 2): Max: 22; Mean: 21.9125; Variance: 0.0810147; Size: 5300; Time: 77.5345 ms; Top5_Histogram_(relative_to_max): 0 1 0 461 4838 ;
Z(4, 17; 2, 2): Max: 23; Mean: 22.9266; Variance: 0.0680092; Size: 5300; Time: 86.3284 ms; Top5_Histogram_(relative_to_max): 0 0 0 389 4911 ;
Z(4, 18; 2, 2): Max: 24; Mean: 23.9347; Variance: 0.0610211; Size: 5300; Time: 121.225 ms; Top5_Histogram_(relative_to_max): 0 0 0 346 4954 ;
Z(4, 19; 2, 2): Max: 25; Mean: 24.9408; Variance: 0.0557353; Size: 5300; Time: 91.8263 ms; Top5_Histogram_(relative_to_max): 0 0 0 314 4986 ;
Z(4, 20; 2, 2): Max: 26; Mean: 25.9504; Variance: 0.0471602; Size: 5300; Time: 98.8574 ms; Top5_Histogram_(relative_to_max): 0 0 0 263 5037 ;
Z(4, 21; 2, 2): Max: 27; Mean: 26.9521; Variance: 0.0456278; Size: 5300; Time: 113.849 ms; Top5_Histogram_(relative_to_max): 0 0 0 254 5046 ;
