Z(4, 15; 4, 4): Max: 48; Mean: 48; Variance: 0; Size: 8; Time: 3.3539 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 16; 4, 4): Max: 51; Mean: 51; Variance: 0; Size: 8; Time: 3.8966 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 17; 4, 4): Max: 54; Mean: 54; Variance: 0; Size: 8; Time: 4.2503 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 18; 4, 4): Max: 57; Mean: 57; Variance: 0; Size: 8; Time: 5.4451 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 19; 4, 4): Max: 60; Mean: 60; Variance: 0; Size: 8; Time: 3.6012 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 20; 4, 4): Max: 63; Mean: 63; Variance: 0; Size: 8; Time: 4.1569 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 21; 4, 4): Max: 66; Mean: 66; Variance: 0; Size: 8; Time: 5.3619 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 22; 4, 4): Max: 69; Mean: 69; Variance: 0; Size: 8; Time: 8.2592 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 23; 4, 4): Max: 72; Mean: 72; Variance: 0; Size: 8; Time: 3.8685 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 24; 4, 4): Max: 75; Mean: 75; Variance: 0; Size: 8; Time: 4.2583 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 25; 4, 4): Max: 78; Mean: 78; Variance: 0; Size: 8; Time: 6.3255 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 26; 4, 4): Max: 81; Mean: 81; Variance: 0; Size: 8; Time: 9.2479 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 27; 4, 4): Max: 84; Mean: 84; Variance: 0; Size: 8; Time: 4.4428 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 28; 4, 4): Max: 87; Mean: 87; Variance: 0; Size: 8; Time: 5.7022 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 29; 4, 4): Max: 90; Mean: 90; Variance: 0; Size: 8; Time: 7.9872 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 30; 4, 4): Max: 93; Mean: 93; Variance: 0; Size: 8; Time: 17.3872 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 5; 4, 4): Max: 22; Mean: 21.625; Variance: 0.234375; Size: 8; Time: 3.1993 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5 ; iter: [1,3,6,12];
Z(5, 6; 4, 4): Max: 26; Mean: 26; Variance: 0; Size: 8; Time: 3.3156 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 7; 4, 4): Max: 30; Mean: 29.875; Variance: 0.109375; Size: 8; Time: 3.612 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(5, 8; 4, 4): Max: 33; Mean: 33; Variance: 0; Size: 8; Time: 3.9527 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 9; 4, 4): Max: 37; Mean: 36.125; Variance: 0.109375; Size: 8; Time: 3.3404 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 1 ; iter: [1,3,6,12];
Z(5, 10; 4, 4): Max: 41; Mean: 40.875; Variance: 0.109375; Size: 8; Time: 3.6224 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(5, 11; 4, 4): Max: 45; Mean: 44.875; Variance: 0.109375; Size: 8; Time: 4.1231 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(5, 12; 4, 4): Max: 48; Mean: 48; Variance: 0; Size: 8; Time: 5.1957 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 13; 4, 4): Max: 52; Mean: 51; Variance: 0.25; Size: 8; Time: 3.6336 ms; Top5_Histogram_(relative_to_max): 0 0 1 6 1 ; iter: [1,3,6,12];
Z(5, 14; 4, 4): Max: 56; Mean: 56; Variance: 0; Size: 8; Time: 4.3054 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 15; 4, 4): Max: 60; Mean: 60; Variance: 0; Size: 8; Time: 4.8737 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 16; 4, 4): Max: 63; Mean: 63; Variance: 0; Size: 8; Time: 7.2739 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 17; 4, 4): Max: 66; Mean: 64.5; Variance: 2.25; Size: 8; Time: 3.8712 ms; Top5_Histogram_(relative_to_max): 0 4 0 0 4 ; iter: [1,3,6,12];
Z(5, 18; 4, 4): Max: 69; Mean: 69; Variance: 0; Size: 8; Time: 4.6748 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 19; 4, 4): Max: 72; Mean: 72; Variance: 0; Size: 8; Time: 5.7101 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 20; 4, 4): Max: 75; Mean: 75; Variance: 0; Size: 8; Time: 9.5589 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
