Z(5, 6; 2, 2): Max: 14; Mean: 12.9594; Variance: 0.499068; Size: 50000; Time: 958.69 ms; Top5_Histogram_(relative_to_max): 298 714 9604 29490 9894 ; p: 0.396667;
Z(5, 7; 2, 2): Max: 15; Mean: 14.3981; Variance: 0.481848; Size: 50000; Time: 1064.54 ms; Top5_Histogram_(relative_to_max): 157 242 4388 19967 25246 ; p: 0.364286;
Z(5, 8; 2, 2): Max: 17; Mean: 15.76; Variance: 0.500619; Size: 50000; Time: 1140.14 ms; Top5_Histogram_(relative_to_max): 72 1934 12770 29893 5236 ; p: 0.36125;
Z(5, 9; 2, 2): Max: 18; Mean: 17.0557; Variance: 0.521535; Size: 50000; Time: 1103.19 ms; Top5_Histogram_(relative_to_max): 21 956 8059 27809 13088 ; p: 0.34;
Z(5, 10; 2, 2): Max: 20; Mean: 18.2991; Variance: 0.523575; Size: 50000; Time: 1188.14 ms; Top5_Histogram_(relative_to_max): 418 5376 23515 19912 728 ; p: 0.34;
Z(5, 11; 2, 2): Max: 21; Mean: 19.4828; Variance: 0.522866; Size: 50000; Time: 1241.37 ms; Top5_Histogram_(relative_to_max): 218 3774 19627 24237 2115 ; p: 0.324545;
Z(5, 12; 2, 2): Max: 22; Mean: 20.6348; Variance: 0.544144; Size: 50000; Time: 1283.1 ms; Top5_Histogram_(relative_to_max): 124 2946 15915 26867 4110 ; p: 0.311667;
Z(5, 13; 2, 2): Max: 23; Mean: 21.7568; Variance: 0.537953; Size: 50000; Time: 1390.16 ms; Top5_Histogram_(relative_to_max): 49 2434 13080 28368 6047 ; p: 0.300769;
Z(5, 14; 2, 2): Max: 24; Mean: 22.8592; Variance: 0.533244; Size: 50000; Time: 1438.64 ms; Top5_Histogram_(relative_to_max): 34 1933 11005 28960 8045 ; p: 0.291429;
Z(5, 15; 2, 2): Max: 25; Mean: 23.9448; Variance: 0.525109; Size: 50000; Time: 1497.44 ms; Top5_Histogram_(relative_to_max): 11 1710 9284 28978 10010 ; p: 0.283333;
Z(5, 16; 2, 2): Max: 26; Mean: 25.0111; Variance: 0.520116; Size: 50000; Time: 1548.63 ms; Top5_Histogram_(relative_to_max): 8 1493 8006 28843 11637 ; p: 0.27625;
Z(5, 17; 2, 2): Max: 27; Mean: 26.07; Variance: 0.508877; Size: 50000; Time: 1604.4 ms; Top5_Histogram_(relative_to_max): 3 1279 7104 28388 13217 ; p: 0.27;
Z(5, 18; 2, 2): Max: 28; Mean: 27.1219; Variance: 0.50276; Size: 50000; Time: 1657.69 ms; Top5_Histogram_(relative_to_max): 3 1182 6224 27857 14727 ; p: 0.264444;
Z(5, 19; 2, 2): Max: 29; Mean: 28.1585; Variance: 0.492951; Size: 50000; Time: 1729.15 ms; Top5_Histogram_(relative_to_max): 1 1065 5668 27491 15767 ; p: 0.259474;
Z(5, 20; 2, 2): Max: 30; Mean: 29.1982; Variance: 0.485649; Size: 50000; Time: 1783.97 ms; Top5_Histogram_(relative_to_max): 0 967 5132 26870 17022 ; p: 0.255;
Z(5, 21; 2, 2): Max: 31; Mean: 30.2266; Variance: 0.479271; Size: 50000; Time: 1969.43 ms; Top5_Histogram_(relative_to_max): 1 884 4868 26250 17992 ; p: 0.250952;
Z(5, 22; 2, 2): Max: 32; Mean: 31.2606; Variance: 0.465257; Size: 50000; Time: 2021.31 ms; Top5_Histogram_(relative_to_max): 0 804 4327 25873 18991 ; p: 0.247273;
Z(5, 23; 2, 2): Max: 33; Mean: 32.279; Variance: 0.463541; Size: 50000; Time: 2092.41 ms; Top5_Histogram_(relative_to_max): 0 748 4271 25248 19730 ; p: 0.243913;
Z(5, 24; 2, 2): Max: 34; Mean: 33.3081; Variance: 0.454662; Size: 50000; Time: 2153.63 ms; Top5_Histogram_(relative_to_max): 0 738 3808 24758 20695 ; p: 0.240833;
Z(5, 25; 2, 2): Max: 35; Mean: 34.3342; Variance: 0.441677; Size: 50000; Time: 2207.28 ms; Top5_Histogram_(relative_to_max): 0 629 3562 24266 21541 ; p: 0.238;
Z(5, 26; 2, 2): Max: 36; Mean: 35.3572; Variance: 0.435797; Size: 50000; Time: 2439.68 ms; Top5_Histogram_(relative_to_max): 0 612 3274 23740 22371 ; p: 0.235385;
Z(5, 27; 2, 2): Max: 37; Mean: 36.3756; Variance: 0.43033; Size: 50000; Time: 2515.42 ms; Top5_Histogram_(relative_to_max): 0 570 3140 23211 23076 ; p: 0.232963;
Z(5, 28; 2, 2): Max: 38; Mean: 37.3948; Variance: 0.414941; Size: 50000; Time: 2600.25 ms; Top5_Histogram_(relative_to_max): 0 524 2813 23054 23608 ; p: 0.230714;
Z(5, 29; 2, 2): Max: 39; Mean: 38.4018; Variance: 0.417965; Size: 50000; Time: 2627.77 ms; Top5_Histogram_(relative_to_max): 0 536 2802 22684 23976 ; p: 0.228621;
Z(5, 30; 2, 2): Max: 40; Mean: 39.4232; Variance: 0.406699; Size: 50000; Time: 2689.29 ms; Top5_Histogram_(relative_to_max): 0 478 2631 22145 24746 ; p: 0.226667;
Z(6, 6; 2, 2): Max: 16; Mean: 14.7911; Variance: 0.620729; Size: 50000; Time: 1135.13 ms; Top5_Histogram_(relative_to_max): 122 2323 13250 26047 8170 ; p: 0.377778;
Z(6, 7; 2, 2): Max: 18; Mean: 16.482; Variance: 0.619876; Size: 50000; Time: 1221.17 ms; Top5_Histogram_(relative_to_max): 644 4439 17369 25007 2494 ; p: 0.364286;
Z(6, 8; 2, 2): Max: 19; Mean: 18.07; Variance: 0.633146; Size: 50000; Time: 1271.39 ms; Top5_Histogram_(relative_to_max): 167 1698 7896 24858 15365 ; p: 0.336458;
Z(6, 9; 2, 2): Max: 21; Mean: 19.5873; Variance: 0.643226; Size: 50000; Time: 1268.31 ms; Top5_Histogram_(relative_to_max): 620 3603 15361 26270 4078 ; p: 0.330556;
Z(6, 10; 2, 2): Max: 22; Mean: 21.0325; Variance: 0.653486; Size: 50000; Time: 1320.8 ms; Top5_Histogram_(relative_to_max): 253 1688 8698 24776 14560 ; p: 0.311667;
Z(6, 11; 2, 2): Max: 24; Mean: 22.4119; Variance: 0.679511; Size: 50000; Time: 1476.34 ms; Top5_Histogram_(relative_to_max): 838 4868 19438 21959 2776 ; p: 0.309091;
Z(6, 12; 2, 2): Max: 25; Mean: 23.7469; Variance: 0.71032; Size: 50000; Time: 1537.14 ms; Top5_Histogram_(relative_to_max): 491 2577 14261 24086 8517 ; p: 0.295139;
Z(6, 13; 2, 2): Max: 27; Mean: 25.0402; Variance: 0.721962; Size: 50000; Time: 1617.45 ms; Top5_Histogram_(relative_to_max): 1424 10159 22875 14545 701 ; p: 0.294231;
Z(6, 14; 2, 2): Max: 28; Mean: 26.2887; Variance: 0.735632; Size: 50000; Time: 1676.42 ms; Top5_Histogram_(relative_to_max): 744 7377 20161 19120 2397 ; p: 0.283333;
Z(6, 15; 2, 2): Max: 30; Mean: 27.506; Variance: 0.744484; Size: 50000; Time: 1785.25 ms; Top5_Histogram_(relative_to_max): 5401 17008 22256 4723 71 ; p: 0.283333;
Z(6, 16; 2, 2): Max: 31; Mean: 28.678; Variance: 0.763269; Size: 50000; Time: 1851.88 ms; Top5_Histogram_(relative_to_max): 4227 14323 23532 7343 233 ; p: 0.274479;
Z(6, 17; 2, 2): Max: 32; Mean: 29.8341; Variance: 0.772097; Size: 50000; Time: 2050.9 ms; Top5_Histogram_(relative_to_max): 3259 12033 23971 9981 530 ; p: 0.266667;
Z(6, 18; 2, 2): Max: 33; Mean: 30.9709; Variance: 0.775552; Size: 50000; Time: 2113.93 ms; Top5_Histogram_(relative_to_max): 2603 10251 23488 12548 970 ; p: 0.259722;
Z(6, 19; 2, 2): Max: 34; Mean: 32.0856; Variance: 0.774799; Size: 50000; Time: 2180.65 ms; Top5_Histogram_(relative_to_max): 2093 8779 22928 14589 1509 ; p: 0.253509;
Z(6, 20; 2, 2): Max: 35; Mean: 33.1815; Variance: 0.785983; Size: 50000; Time: 2244.64 ms; Top5_Histogram_(relative_to_max): 1786 7670 21871 16493 2086 ; p: 0.247917;
Z(6, 21; 2, 2): Max: 36; Mean: 34.266; Variance: 0.783635; Size: 50000; Time: 2287.13 ms; Top5_Histogram_(relative_to_max): 1535 6737 21050 17858 2752 ; p: 0.242857;
Z(6, 22; 2, 2): Max: 37; Mean: 35.346; Variance: 0.772696; Size: 50000; Time: 2532.06 ms; Top5_Histogram_(relative_to_max): 1293 5852 20289 19079 3433 ; p: 0.238258;
Z(6, 23; 2, 2): Max: 38; Mean: 36.4103; Variance: 0.775241; Size: 50000; Time: 2594.1 ms; Top5_Histogram_(relative_to_max): 1176 5303 19210 20187 4079 ; p: 0.234058;
Z(6, 24; 2, 2): Max: 39; Mean: 37.4759; Variance: 0.762819; Size: 50000; Time: 2672.5 ms; Top5_Histogram_(relative_to_max): 982 4839 18301 21023 4832 ; p: 0.230208;
Z(6, 25; 2, 2): Max: 40; Mean: 38.5279; Variance: 0.76874; Size: 50000; Time: 2748.8 ms; Top5_Histogram_(relative_to_max): 900 4429 17439 21653 5548 ; p: 0.226667;
Z(6, 26; 2, 2): Max: 41; Mean: 39.5646; Variance: 0.771229; Size: 50000; Time: 2817.35 ms; Top5_Histogram_(relative_to_max): 840 4217 16795 22002 6118 ; p: 0.223397;
Z(6, 27; 2, 2): Max: 42; Mean: 40.6175; Variance: 0.751144; Size: 50000; Time: 2888.44 ms; Top5_Histogram_(relative_to_max): 729 3717 16117 22679 6734 ; p: 0.22037;
Z(6, 28; 2, 2): Max: 43; Mean: 41.6596; Variance: 0.756128; Size: 50000; Time: 2980.68 ms; Top5_Histogram_(relative_to_max): 720 3441 15367 22963 7489 ; p: 0.21756;
Z(6, 29; 2, 2): Max: 44; Mean: 42.7007; Variance: 0.741416; Size: 50000; Time: 3014.52 ms; Top5_Histogram_(relative_to_max): 609 3210 14660 23455 8045 ; p: 0.214943;
Z(6, 30; 2, 2): Max: 45; Mean: 43.7297; Variance: 0.73158; Size: 50000; Time: 3120.42 ms; Top5_Histogram_(relative_to_max): 541 3031 14293 23574 8545 ; p: 0.2125;
Z(7, 7; 2, 2): Max: 21; Mean: 18.4045; Variance: 0.71036; Size: 50000; Time: 1392.77 ms; Top5_Histogram_(relative_to_max): 5335 17782 24875 0 964 ; p: 0.364286;
Z(7, 8; 2, 2): Max: 22; Mean: 20.2147; Variance: 0.778621; Size: 50000; Time: 1451.09 ms; Top5_Histogram_(relative_to_max): 1490 6488 23318 15851 2587 ; p: 0.333929;
Z(7, 9; 2, 2): Max: 24; Mean: 21.9413; Variance: 0.794392; Size: 50000; Time: 1457.59 ms; Top5_Histogram_(relative_to_max): 2140 10843 23628 12033 860 ; p: 0.32381;
Z(7, 10; 2, 2): Max: 25; Mean: 23.5844; Variance: 0.791363; Size: 50000; Time: 1727.8 ms; Top5_Histogram_(relative_to_max): 754 4214 15577 23119 6169 ; p: 0.303571;
Z(7, 11; 2, 2): Max: 27; Mean: 25.1701; Variance: 0.786539; Size: 50000; Time: 1823.07 ms; Top5_Histogram_(relative_to_max): 1724 7712 20960 18038 1277 ; p: 0.298052;
Z(7, 12; 2, 2): Max: 28; Mean: 26.6992; Variance: 0.799287; Size: 50000; Time: 1889.29 ms; Top5_Histogram_(relative_to_max): 675 3673 13690 23462 8407 ; p: 0.283333;
