Z(4, 25; 2, 2): Max: 31; Mean: 30.995; Variance: 0.004975; Size: 400; Time: 50.7558 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 42.9085 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 27; 2, 2): Max: 33; Mean: 32.155; Variance: 0.130975; Size: 400; Time: 33.3915 ms; Top5_Histogram_(relative_to_max): 0 0 0 338 62 ; iter: 1, 3, 6, 12;
Z(4, 28; 2, 2): Max: 34; Mean: 33.5; Variance: 0.25; Size: 400; Time: 37.907 ms; Top5_Histogram_(relative_to_max): 0 0 0 200 200 ; iter: 1, 3, 6, 12;
Z(4, 29; 2, 2): Max: 35; Mean: 34.965; Variance: 0.033775; Size: 400; Time: 45.9094 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 386 ; iter: 1, 3, 6, 12;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 53.277 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 31; 2, 2): Max: 37; Mean: 36.52; Variance: 0.2496; Size: 400; Time: 44.2442 ms; Top5_Histogram_(relative_to_max): 0 0 0 192 208 ; iter: 1, 3, 6, 12;
Z(4, 32; 2, 2): Max: 38; Mean: 37.315; Variance: 0.215775; Size: 400; Time: 46.9449 ms; Top5_Histogram_(relative_to_max): 0 0 0 274 126 ; iter: 1, 3, 6, 12;
Z(4, 33; 2, 2): Max: 39; Mean: 38.87; Variance: 0.1131; Size: 400; Time: 68.6638 ms; Top5_Histogram_(relative_to_max): 0 0 0 52 348 ; iter: 1, 3, 6, 12;
Z(4, 34; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 63.1528 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 35; 2, 2): Max: 41; Mean: 40.635; Variance: 0.231775; Size: 400; Time: 46.1546 ms; Top5_Histogram_(relative_to_max): 0 0 0 146 254 ; iter: 1, 3, 6, 12;
Z(4, 36; 2, 2): Max: 42; Mean: 41.165; Variance: 0.137775; Size: 400; Time: 49.3085 ms; Top5_Histogram_(relative_to_max): 0 0 0 334 66 ; iter: 1, 3, 6, 12;
Z(4, 37; 2, 2): Max: 43; Mean: 42.65; Variance: 0.2275; Size: 400; Time: 55.8561 ms; Top5_Histogram_(relative_to_max): 0 0 0 140 260 ; iter: 1, 3, 6, 12;
Z(4, 38; 2, 2): Max: 44; Mean: 43.985; Variance: 0.014775; Size: 400; Time: 66.259 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 394 ; iter: 1, 3, 6, 12;
Z(4, 39; 2, 2): Max: 45; Mean: 44.71; Variance: 0.2059; Size: 400; Time: 53.5098 ms; Top5_Histogram_(relative_to_max): 0 0 0 116 284 ; iter: 1, 3, 6, 12;
Z(4, 40; 2, 2): Max: 46; Mean: 45.505; Variance: 0.249975; Size: 400; Time: 57.5323 ms; Top5_Histogram_(relative_to_max): 0 0 0 198 202 ; iter: 1, 3, 6, 12;
Z(5, 5; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 8.8218 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 6; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 11.3096 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 7; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 10.117 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 8; 2, 2): Max: 17; Mean: 16.39; Variance: 0.2379; Size: 400; Time: 12.2208 ms; Top5_Histogram_(relative_to_max): 0 0 0 244 156 ; iter: 1, 3, 6, 12;
Z(5, 9; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 13.8945 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 10; 2, 2): Max: 20; Mean: 19.045; Variance: 0.062975; Size: 400; Time: 19.555 ms; Top5_Histogram_(relative_to_max): 0 0 4 374 22 ; iter: 1, 3, 6, 12;
Z(5, 11; 2, 2): Max: 20; Mean: 19.995; Variance: 0.004975; Size: 400; Time: 15.0523 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(5, 12; 2, 2): Max: 22; Mean: 21.05; Variance: 0.0475; Size: 400; Time: 17.6071 ms; Top5_Histogram_(relative_to_max): 0 0 0 380 20 ; iter: 1, 3, 6, 12;
Z(5, 13; 2, 2): Max: 23; Mean: 22.305; Variance: 0.211975; Size: 400; Time: 20.7689 ms; Top5_Histogram_(relative_to_max): 0 0 0 278 122 ; iter: 1, 3, 6, 12;
Z(5, 14; 2, 2): Max: 24; Mean: 23.83; Variance: 0.1511; Size: 400; Time: 25.9154 ms; Top5_Histogram_(relative_to_max): 0 0 2 64 334 ; iter: 1, 3, 6, 12;
Z(5, 15; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 19.9531 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 16; 2, 2): Max: 26; Mean: 25.18; Variance: 0.1476; Size: 400; Time: 24.5204 ms; Top5_Histogram_(relative_to_max): 0 0 0 328 72 ; iter: 1, 3, 6, 12;
Z(5, 17; 2, 2): Max: 27; Mean: 26.005; Variance: 0.004975; Size: 400; Time: 27.605 ms; Top5_Histogram_(relative_to_max): 0 0 0 398 2 ; iter: 1, 3, 6, 12;
Z(5, 18; 2, 2): Max: 28; Mean: 27.605; Variance: 0.238975; Size: 400; Time: 34.4672 ms; Top5_Histogram_(relative_to_max): 0 0 0 158 242 ; iter: 1, 3, 6, 12;
Z(5, 19; 2, 2): Max: 29; Mean: 27.485; Variance: 0.259775; Size: 400; Time: 24.5548 ms; Top5_Histogram_(relative_to_max): 0 0 208 190 2 ; iter: 1, 3, 6, 12;
Z(5, 20; 2, 2): Max: 30; Mean: 29.215; Variance: 0.168775; Size: 400; Time: 31.1442 ms; Top5_Histogram_(relative_to_max): 0 0 0 314 86 ; iter: 1, 3, 6, 12;
Z(5, 21; 2, 2): Max: 31; Mean: 29.86; Variance: 0.1604; Size: 400; Time: 37.973 ms; Top5_Histogram_(relative_to_max): 0 2 58 334 6 ; iter: 1, 3, 6, 12;
Z(5, 22; 2, 2): Max: 32; Mean: 30.395; Variance: 0.428975; Size: 400; Time: 51.0446 ms; Top5_Histogram_(relative_to_max): 0 30 190 172 8 ; iter: 1, 3, 6, 12;
Z(5, 23; 2, 2): Max: 32; Mean: 31.955; Variance: 0.042975; Size: 400; Time: 32.1718 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 382 ; iter: 1, 3, 6, 12;
Z(5, 24; 2, 2): Max: 34; Mean: 32.945; Variance: 0.101975; Size: 400; Time: 40.5881 ms; Top5_Histogram_(relative_to_max): 0 0 32 358 10 ; iter: 1, 3, 6, 12;
Z(5, 25; 2, 2): Max: 35; Mean: 33.79; Variance: 0.2259; Size: 400; Time: 47.4503 ms; Top5_Histogram_(relative_to_max): 0 4 84 304 8 ; iter: 1, 3, 6, 12;
Z(5, 26; 2, 2): Max: 36; Mean: 34.3; Variance: 0.59; Size: 400; Time: 93.7227 ms; Top5_Histogram_(relative_to_max): 0 44 224 100 32 ; iter: 1, 3, 6, 12;
Z(5, 27; 2, 2): Max: 37; Mean: 35.95; Variance: 0.0575; Size: 400; Time: 42.1627 ms; Top5_Histogram_(relative_to_max): 0 0 22 376 2 ; iter: 1, 3, 6, 12;
Z(5, 28; 2, 2): Max: 38; Mean: 37; Variance: 0.33; Size: 400; Time: 48.4909 ms; Top5_Histogram_(relative_to_max): 0 6 48 286 60 ; iter: 1, 3, 6, 12;
