Z(4, 31; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 19.3424 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 32; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 21.2373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 33; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 24.5305 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 34; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 30.6183 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 35; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 21.882 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 36; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 400; Time: 24.0329 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 37; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 400; Time: 27.6289 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 38; 2, 2): Max: 44; Mean: 44; Variance: 0; Size: 400; Time: 34.8353 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 39; 2, 2): Max: 45; Mean: 45; Variance: 0; Size: 400; Time: 24.1954 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 40; 2, 2): Max: 46; Mean: 46; Variance: 0; Size: 400; Time: 26.8591 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 5; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 8.7819 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 6; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 10.4955 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 7; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 8.69 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
